Owner,Repository,Xtext File,Mwe2 File,New File
waynepiekarski,XTextureExtractor,null,null,null
TypeFox,theia-xtext-sprotty-example,TypeFox-theia-xtext-sprotty-example-f12ed33/language-server/io.typefox.examples.theia.states/src/main/java/io/typefox/examples/theia/states/States.xtext,TypeFox-theia-xtext-sprotty-example-f12ed33/language-server/io.typefox.examples.theia.states/src/main/java/io/typefox/examples/theia/states/GenerateStates.mwe2,TypeFox-theia-xtext-sprotty-example-f12ed33/ws-theia/MrsGrantsSecretCompartment.sm
altran-mde,xtext-sirius-integration,"altran-mde-xtext-sirius-integration-c53701d/demo/com.example.classes.inlineedit/src/com/example/classes/Inlineedit.xtext,altran-mde-xtext-sirius-integration-c53701d/demo/com.example.classes/src/com/example/Classes.xtext,altran-mde-xtext-sirius-integration-c53701d/demo/nl.altran.example.xtext.html/src/nl/altran/example/xtext/html/HtmlLang.xtext,altran-mde-xtext-sirius-integration-c53701d/demo/org.eclipse.xtext.example.fowlerdsl.inlineedit/src/org/eclipse/xtext/example/fowlerdsl/InlineEdit.xtext,altran-mde-xtext-sirius-integration-c53701d/demo/org.eclipse.xtext.example.fowlerdsl/src/org/eclipse/xtext/example/fowlerdsl/Statemachine.xtext,altran-mde-xtext-sirius-integration-c53701d/test/com.altran.general.integration.xtextsirius.test.ekeylang.xtext/src/com/altran/general/integration/xtextsirius/test/EKeyLang.xtext,altran-mde-xtext-sirius-integration-c53701d/test/com.altran.general.integration.xtextsirius.test.reflang.RefLang/src/com/altran/general/integration/xtextsirius/test/reflang/RefLang.xtext,altran-mde-xtext-sirius-integration-c53701d/test/com.altran.general.integration.xtextsirius.test.reflang.edit/src/com/altran/general/integration/xtextsirius/test/reflang/edit/RefLangEdit.xtext","altran-mde-xtext-sirius-integration-c53701d/demo/com.example.classes.inlineedit/src/com/example/classes/GenerateInlineedit.mwe2,altran-mde-xtext-sirius-integration-c53701d/demo/com.example.classes/src/com/example/GenerateClasses.mwe2,altran-mde-xtext-sirius-integration-c53701d/demo/nl.altran.example.xtext.html/src/nl/altran/example/xtext/html/GenerateHtmlLang.mwe2,altran-mde-xtext-sirius-integration-c53701d/demo/org.eclipse.xtext.example.fowlerdsl.inlineedit/src/org/eclipse/xtext/example/fowlerdsl/GenerateInlineEdit.mwe2,altran-mde-xtext-sirius-integration-c53701d/demo/org.eclipse.xtext.example.fowlerdsl/src/org/eclipse/xtext/example/fowlerdsl/GenerateStatemachine.mwe2,altran-mde-xtext-sirius-integration-c53701d/test/com.altran.general.integration.xtextsirius.test.ekeylang.xtext/src/com/altran/general/integration/xtextsirius/test/GenerateEKeyLang.mwe2,altran-mde-xtext-sirius-integration-c53701d/test/com.altran.general.integration.xtextsirius.test.reflang.RefLang/src/com/altran/general/integration/xtextsirius/test/reflang/GenerateRefLang.mwe2,altran-mde-xtext-sirius-integration-c53701d/test/com.altran.general.integration.xtextsirius.test.reflang.edit/src/com/altran/general/integration/xtextsirius/test/reflang/edit/GenerateRefLangEdit.mwe2","altran-mde-xtext-sirius-integration-c53701d/demo-runtime/statemachine.sample/test.html,altran-mde-xtext-sirius-integration-c53701d/doc/com.altran.general.integration.xtextsirius.doc/internalFlow.html,altran-mde-xtext-sirius-integration-c53701d/doc/userguide/docinfo.html,altran-mde-xtext-sirius-integration-c53701d/doc/userguide/xtext-sirius-userguide.html,altran-mde-xtext-sirius-integration-c53701d/demo-runtime/statemachine.sample/example1.statemachine,altran-mde-xtext-sirius-integration-c53701d/demo-runtime/statemachine.sample/example2.statemachine,altran-mde-xtext-sirius-integration-c53701d/demo-runtime/statemachine.sample/example3.statemachine,altran-mde-xtext-sirius-integration-c53701d/test/com.altran.general.integration.xtextsirius.test.ekeylang.example/test.ekeylang,altran-mde-xtext-sirius-integration-c53701d/test/com.altran.general.integration.xtextsirius.test.reflang.RefLang.example/test1.reflang,altran-mde-xtext-sirius-integration-c53701d/test/com.altran.general.integration.xtextsirius.test.reflang.RefLang.example/test2.reflang_edit"
graph-quilt,graphql-xtext,katmatt-graphql-xtext-a7d4465/io.github.katmatt.graphql/src/io/github/katmatt/graphql/GraphQL.xtext,katmatt-graphql-xtext-a7d4465/io.github.katmatt.graphql/src/io/github/katmatt/graphql/GenerateGraphQL.mwe2,null
TypeFox,vscode-xtext-sprotty-example,TypeFox-vscode-xtext-sprotty-example-db6df4f/language-server/io.typefox.examples.theia.states/src/main/java/io/typefox/examples/theia/states/States.xtext,TypeFox-vscode-xtext-sprotty-example-db6df4f/language-server/io.typefox.examples.theia.states/src/main/java/io/typefox/examples/theia/states/GenerateStates.mwe2,TypeFox-vscode-xtext-sprotty-example-db6df4f/workspace/MrsGrantsSecretCompartment.sm
eclipse,xtext-website,null,null,null
intuit,common-xtext-expression-language,intuit-common-xtext-expression-language-44a9ce7/com.intuit.dsl.expression.parent/com.intuit.dsl.expression/src/com/intuit/dsl/Expression.xtext,intuit-common-xtext-expression-language-44a9ce7/com.intuit.dsl.expression.parent/com.intuit.dsl.expression/src/com/intuit/dsl/GenerateExpression.mwe2,null
PacktPublishing,Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend,"PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.customgreetings.parent/org.example.customgreetings/src/org/example/customgreetings/Greetings.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.entities.parent/org.example.entities/src/org/example/entities/Entities.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.expressions.parent/org.example.expressions/src/org/example/expressions/Expressions.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.helloidea.parent/org.example.helloidea/src/org/example/helloidea/HelloIdea.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.hellomaven.parent/org.example.hellomaven/src/org/example/hellomaven/HelloMaven.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.helloweb.parent/org.example.helloweb/src/org/example/helloweb/HelloWeb.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.library.parent/org.example.library/src/org/example/library/Library.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.school.parent/org.example.school/src/org/example/school/School.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.smalljava.parent/org.example.smalljava/src/org/example/smalljava/SmallJava.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.xbase.entities.parent/org.example.xbase.entities/src/org/example/xbase/entities/Entities.xtext,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.xbase.expressions.parent/org.example.xbase.expressions/src/org/example/xbase/expressions/Expressions.xtext","PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.customgreetings.parent/org.example.customgreetings/src/org/example/customgreetings/GenerateGreetings.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.customgreetings.parent/org.example.customgreetings/src/org/example/customgreetings/GenerateGreetingsModel.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.entities.parent/org.example.entities/src/org/example/entities/GenerateEntities.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.expressions.parent/org.example.expressions/src/org/example/expressions/GenerateExpressions.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.helloidea.parent/org.example.helloidea/src/org/example/helloidea/GenerateHelloIdea.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.hellomaven.parent/org.example.hellomaven/src/org/example/hellomaven/GenerateHelloMaven.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.helloweb.parent/org.example.helloweb/src/org/example/helloweb/GenerateHelloWeb.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.library.parent/org.example.library/src/org/example/library/GenerateLibrary.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.school.parent/org.example.school/src/org/example/school/GenerateSchool.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.smalljava.parent/org.example.smalljava/src/org/example/smalljava/GenerateSmallJava.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.xbase.entities.parent/org.example.xbase.entities/src/org/example/xbase/entities/GenerateEntities.mwe2,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.xbase.expressions.parent/org.example.xbase.expressions/src/org/example/xbase/expressions/GenerateExpressions.mwe2","PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.entities.parent/org.example.entities.generatormain.tests/src/MyModel.entities,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.entities.parent/org.example.entities.standalone.tests/src/MyModel.entities,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.smalljava.parent/org.example.smalljava.generatormain.tests/src/example.smalljava,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.smalljava.parent/org.example.smalljava.generatormain.tests/src/example2.smalljava,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.smalljava.parent/org.example.smalljava.standalone.tests/src/example.smalljava,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.smalljava.parent/org.example.smalljava.standalone.tests/src/example2.smalljava,PacktPublishing-Implementing-Domain-Specific-Languages-with-Xtext-and-Xtend-7419f90/org.example.smalljava.parent/org.example.smalljava/smalljavalib/smalljava/lang/mainlib.smalljava"
resloved,xtext,"magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/src/main/java/org/domaindriven/dsl/Ddd.xtext,magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/target/classes/org/domaindriven/dsl/Ddd.xtext,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/src/main/java/org/domaindriven/model/dsl/Ddd.xtext,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/target/classes/org/domaindriven/model/dsl/Ddd.xtext","magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/src/main/java/org/domaindriven/dsl/GenerateDdd.mwe2,magick93-xtext-0528aa7/org.domaindriven.dsl.parent/org.domaindriven.dsl/target/classes/org/domaindriven/dsl/GenerateDdd.mwe2,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/src/main/java/org/domaindriven/model/dsl/GenerateDdd.mwe2,magick93-xtext-0528aa7/org.domaindriven.model.dsl.parent/org.domaindriven.model.dsl/target/classes/org/domaindriven/model/dsl/GenerateDdd.mwe2",null
lurenzhangdeshuai,EmojiText-XText,null,null,null
